id,code,start_date,end_date,status,due_day,termination_date,payment_type,readjustment_index,city,state,initial_rent_value,total_fee,rent_fee,damage_fee,damage_exposure,early_termination_penalty
1,7104,2021-11-26,2026-11-26,active,25,,month_to_expire,igpm,São Carlos,SP,1124.74,8.0,6.0,2,3,false
2,7159,2021-11-23,2026-11-23,active,22,,month_to_expire,igpm,São Carlos,SP,899.8,8.5,6.5,2,3,false
3,7137,2021-11-18,2024-05-17,inactive,17,2023-09-08,expired_month,igpm,São Carlos,SP,1184.5,10.5,8.5,2,3,false
4,7069,2021-11-16,2024-05-16,inactive,15,2024-01-12,expired_month,igpm,Araraquara,SP,745.64,10.0,8.0,2,3,false
5,7199,2021-11-25,2024-05-25,inactive,10,2024-02-19,expired_month,igpm,Araraquara,SP,692.38,8.0,6.0,2,3,false
6,7109,2021-11-19,2024-05-18,inactive,22,2024-07-26,expired_month,igpm,São Carlos,SP,745.64,10.0,8.0,2,3,false
7,7130,2021-11-16,2024-05-15,inactive,15,2024-11-01,expired_month,igpm,São Carlos,SP,1065.2,9.0,7.0,2,3,false
8,7241,2021-12-02,2024-06-01,inactive,7,2024-01-04,expired_month,igpm,São Carlos,SP,402.42,10.5,8.5,2,3,false
9,7123,2021-11-16,2024-05-15,inactive,15,2022-12-22,expired_month,igpm,São Carlos,SP,1302.74,9.5,7.5,2,3,false
10,7145,2021-11-18,2024-05-17,inactive,25,2022-12-06,expired_month,igpm,São Carlos,SP,734.99,10.5,8.5,2,3,false
11,7090,2021-11-21,2024-05-20,inactive,20,2023-12-06,expired_month,igpm,São Carlos,SP,756.81,9.0,7.0,2,3,false
12,7166,2021-12-02,2026-12-02,active,9,,month_to_expire,igpm,São Carlos,SP,751.06,8.0,6.0,2,3,false
13,20774,2024-08-17,2027-02-17,active,17,,month_to_expire,igpm,São Carlos,SP,4445.0,10.0,8.0,2,3,true
14,11,2022-06-24,2023-06-23,inactive,10,2022-12-02,expired_month,igpm,Itajaí,SC,850.0,10.5,9.5,1,3,false
15,#1031 - Contrato 145/1,2019-10-05,2022-04-04,inactive,5,2020-07-18,month_to_expire,igpm,Campinas,SP,1700.0,11.11,11.11,0,3,false
16,7236,2021-12-06,2026-12-06,active,5,,month_to_expire,igpm,São Carlos,SP,506.72,10.0,8.0,2,3,false
17,IM581,2023-05-30,2024-05-30,inactive,8,2024-11-13,month_to_expire,igpm,Porto Alegre,RS,1050.0,11.5,9.5,2,3,false
18,83629,2024-07-01,2026-12-31,active,5,,month_to_expire,igpm,Guarulhos,SP,850.0,11.5,9.5,2,3,false
19,7311,2021-12-17,2024-06-16,inactive,16,2023-05-16,expired_month,igpm,São Carlos,SP,915.45,10.5,8.5,2,3,false
20,7301,2021-12-16,2026-12-16,active,15,,month_to_expire,igpm,São Carlos,SP,1126.03,9.0,7.0,2,3,false
21,1503,2022-06-30,2023-06-29,inactive,5,2023-01-10,expired_month,igpm,Porto Alegre,RS,850.0,8.5,6.5,2,3,false
22,117,2024-07-01,2027-01-01,to_be_vacant,5,,expired_month,ipca,São Carlos,SP,800.0,14.0,12.0,2,3,false
23,14894,2024-07-10,2027-06-10,active,10,,month_to_expire,igpm,São Carlos,SP,1112.0,10.0,8.0,2,3,false
