id_transfer,liquidation_date,transfer_due_date,transfer_total_value,transfer_status,contract_id,bill_id,accrual,real_estate_agency_id,rental_value,damage_value,early_termination_value,early_termination_guarantee,damage_guarantee,transfer_parcel_cycle,transfer_real_rental_value,median_rental_value
1548179,2024-09-20,2024-09-20,5024.97,liquidated,13,2724108.0,2024-09-17,93,4445.0,0.0,0.0,1,true,1,5024.97,5024.97
1606399,2024-10-22,2024-10-22,5024.97,liquidated,13,2555843.0,2024-10-17,93,4445.0,0.0,0.0,1,true,1,5024.97,5024.97
1606408,2024-11-22,2024-11-22,5024.97,liquidated,13,2555845.0,2024-11-18,93,4445.0,0.0,0.0,1,true,1,5024.97,5024.97
1606416,2024-12-20,2024-12-20,4535.97,liquidated,13,2555847.0,2024-12-17,93,4445.0,0.0,0.0,1,true,1,4535.97,5024.97
1606422,,2025-01-22,5024.97,waiting,13,2555848.0,2025-01-17,93,4445.0,0.0,0.0,1,true,1,5024.97,5024.97
1606431,,2025-02-21,5024.97,waiting,13,2555850.0,2025-02-17,93,4445.0,0.0,0.0,1,true,1,5024.97,5024.97
1606438,,2025-03-21,5024.97,waiting,13,2555852.0,2025-03-17,93,4445.0,0.0,0.0,1,true,1,5024.97,5024.97
1606452,,2025-04-22,5024.97,waiting,13,2555854.0,2025-04-17,93,4445.0,0.0,0.0,1,true,1,5024.97,5024.97
1606457,,2025-05-23,5024.97,waiting,13,2555857.0,2025-05-19,93,4445.0,0.0,0.0,1,true,1,5024.97,5024.97
1606463,,2025-06-20,5024.97,waiting,13,2555858.0,2025-06-17,93,4445.0,0.0,0.0,1,true,1,5024.97,5024.97
1606469,,2025-07-22,5024.97,waiting,13,2555968.0,2025-07-17,93,4445.0,0.0,0.0,1,true,1,5024.97,5024.97
1606479,,2025-08-22,5024.97,waiting,13,2555970.0,2025-08-18,93,4445.0,0.0,0.0,1,true,1,5024.97,5024.97
1600947,2024-10-04,2024-10-04,314.01,liquidated,44,2550363.0,2024-10-01,93,305.8,0.0,0.0,1,true,1,314.01,314.01
1604114,2024-02-14,2024-02-09,1096.37,liquidated,76,2552882.0,2024-02-02,93,1000.0,0.0,0.0,1,true,1,1096.37,1096.37
1604124,2024-03-08,2024-03-08,1096.37,liquidated,76,2552884.0,2024-03-04,93,1000.0,0.0,0.0,1,true,1,1096.37,1096.37
1604130,2024-04-08,2024-04-05,1096.37,liquidated,76,2552885.0,2024-04-02,93,1000.0,0.0,0.0,1,true,1,1096.37,1096.37
1604137,2024-05-07,2024-05-07,1096.37,liquidated,76,2552886.0,2024-05-02,93,1000.0,0.0,0.0,1,true,1,1096.37,1096.37
1604146,2024-06-07,2024-06-07,1096.37,liquidated,76,2552887.0,2024-06-03,93,1000.0,0.0,0.0,1,true,1,1096.37,1096.37
1567986,2024-07-05,2024-07-05,1096.37,liquidated,76,2601742.0,2024-07-02,93,1000.0,0.0,0.0,1,true,1,1096.37,1096.37
1567997,2024-08-07,2024-08-07,1096.37,liquidated,76,2601743.0,2024-08-02,93,1000.0,0.0,0.0,1,true,1,1096.37,1096.37
1568001,2024-09-06,2024-09-06,1096.37,liquidated,76,2601745.0,2024-09-02,93,1000.0,0.0,0.0,1,true,1,1096.37,1096.37
1568008,2024-10-07,2024-10-07,1096.37,liquidated,76,2601748.0,2024-10-02,93,1000.0,0.0,0.0,1,true,1,1096.37,1096.37
1567995,2024-11-08,2024-11-08,1096.37,liquidated,76,2601750.0,2024-11-04,93,1000.0,0.0,0.0,1,true,1,1096.37,1096.37
1588439,2024-12-06,2024-12-06,1023.53,liquidated,76,2681815.0,2024-12-02,93,1000.0,0.0,0.0,1,true,1,1023.53,1096.37
1568020,2025-01-07,2025-01-07,1096.37,liquidated,76,2601753.0,2025-01-02,93,1000.0,0.0,0.0,1,true,1,1096.37,1096.37
1621303,,2025-02-07,1096.37,waiting,76,2746913.0,2025-02-03,93,1000.0,0.0,0.0,1,true,2,1096.37,1096.37
1621313,,2025-03-10,1096.37,waiting,76,2746920.0,2025-03-05,93,1000.0,0.0,0.0,1,true,2,1096.37,1096.37
1621315,,2025-04-07,1096.37,waiting,76,2746923.0,2025-04-02,93,1000.0,0.0,0.0,1,true,2,1096.37,1096.37
1621319,,2025-05-07,1096.37,waiting,76,2746925.0,2025-05-02,93,1000.0,0.0,0.0,1,true,2,1096.37,1096.37
