id_transfer,liquidation_date,transfer_due_date,transfer_total_value,transfer_status,contract_id,bill_id,accrual,real_estate_agency_id,rental_value,damage_value,early_termination_value,early_termination_guarantee,damage_guarantee,transfer_parcel_cycle,transfer_real_rental_value,median_rental_value
1548179,2024-09-20,2024-09-20,5024.97,liquidated,13,2724108.0,2024-09-17,93,4445.0,0.0,0.0,1,true,1,5024.97,5024.97
1606399,2024-10-22,2024-10-22,5024.97,liquidated,13,2555843.0,2024-10-17,93,4445.0,0.0,0.0,1,true,1,5024.97,5024.97
1606408,2024-11-22,2024-11-22,5024.97,liquidated,13,2555845.0,2024-11-18,93,4445.0,0.0,0.0,1,true,1,5024.97,5024.97
1606416,2024-12-20,2024-12-20,4535.97,liquidated,13,2555847.0,2024-12-17,93,4445.0,0.0,0.0,1,true,1,4535.97,5024.97
1600947,2024-10-04,2024-10-04,314.01,liquidated,44,2550363.0,2024-10-01,93,305.8,0.0,0.0,1,true,1,314.01,314.01
1604114,2024-02-14,2024-02-09,1096.37,liquidated,76,2552882.0,2024-02-02,93,1000.0,0.0,0.0,1,true,1,1096.37,1096.37
1604124,2024-03-08,2024-03-08,1096.37,liquidated,76,2552884.0,2024-03-04,93,1000.0,0.0,0.0,1,true,1,1096.37,1096.37
1604130,2024-04-08,2024-04-05,1096.37,liquidated,76,2552885.0,2024-04-02,93,1000.0,0.0,0.0,1,true,1,1096.37,1096.37
1604137,2024-05-07,2024-05-07,1096.37,liquidated,76,2552886.0,2024-05-02,93,1000.0,0.0,0.0,1,true,1,1096.37,1096.37
1604146,2024-06-07,2024-06-07,1096.37,liquidated,76,2552887.0,2024-06-03,93,1000.0,0.0,0.0,1,true,1,1096.37,1096.37
1567986,2024-07-05,2024-07-05,1096.37,liquidated,76,2601742.0,2024-07-02,93,1000.0,0.0,0.0,1,true,1,1096.37,1096.37
1567997,2024-08-07,2024-08-07,1096.37,liquidated,76,2601743.0,2024-08-02,93,1000.0,0.0,0.0,1,true,1,1096.37,1096.37
1568001,2024-09-06,2024-09-06,1096.37,liquidated,76,2601745.0,2024-09-02,93,1000.0,0.0,0.0,1,true,1,1096.37,1096.37
1568008,2024-10-07,2024-10-07,1096.37,liquidated,76,2601748.0,2024-10-02,93,1000.0,0.0,0.0,1,true,1,1096.37,1096.37
1567995,2024-11-08,2024-11-08,1096.37,liquidated,76,2601750.0,2024-11-04,93,1000.0,0.0,0.0,1,true,1,1096.37,1096.37
1588439,2024-12-06,2024-12-06,1023.53,liquidated,76,2681815.0,2024-12-02,93,1000.0,0.0,0.0,1,true,1,1023.53,1096.37
1568020,2025-01-07,2025-01-07,1096.37,liquidated,76,2601753.0,2025-01-02,93,1000.0,0.0,0.0,1,true,1,1096.37,1096.37
1509095,2024-08-20,2024-08-20,1927.74,liquidated,85,2687834.0,2024-08-15,93,1445.0,0.0,0.0,1,true,1,1927.74,1905.05
1510428,2024-09-20,2024-09-20,1684.41,liquidated,85,2689202.0,2024-09-16,93,1445.0,0.0,0.0,1,true,1,1684.41,1905.05
1510522,2024-10-18,2024-10-18,1705.05,liquidated,85,2689207.0,2024-10-15,93,1245.0,0.0,0.0,1,true,1,1705.05,1905.05
1510528,2024-11-22,2024-11-22,1905.05,liquidated,85,2689212.0,2024-11-18,93,1445.0,0.0,0.0,1,true,1,1905.05,1905.05
1510534,2024-12-20,2024-12-20,1905.05,liquidated,85,2689216.0,2024-12-16,93,1445.0,0.0,0.0,1,true,1,1905.05,1905.05
1511463,2024-08-23,2024-08-23,998.86,liquidated,176,2690159.0,2024-08-19,93,933.33,0.0,0.0,1,true,1,998.86,1065.53
1513994,2024-09-20,2024-09-20,1065.53,liquidated,176,2692610.0,2024-09-16,93,1000.0,0.0,0.0,1,true,1,1065.53,1065.53
1514002,2024-10-18,2024-10-18,1065.53,liquidated,176,2692615.0,2024-10-15,93,1000.0,0.0,0.0,1,true,1,1065.53,1065.53
1514011,2024-11-22,2024-11-22,1065.53,liquidated,176,2692620.0,2024-11-18,93,1000.0,0.0,0.0,1,true,1,1065.53,1065.53
1582842,2024-12-23,2024-12-23,821.75,liquidated,176,2708090.0,2024-12-18,93,0.0,0.0,773.79,1,true,1,47.960000000000036,1065.53
1591291,2024-07-17,2024-07-17,1146.1,liquidated,203,2625581.0,2024-07-12,93,1112.0,0.0,0.0,1,true,1,1146.1,1146.1
